Timestamp,What is your Faculty?,Year of Study?,On average how many days a week do you use the Open Area?,How long do you plan to be in the Open Area today?,What activities are you doing in the Open Area today?,Thermal Comfort,Noise Level,Lighting Conditions,Occupancy Level,Weather Conditions(Rain/Breeze),What are the top reasons you chose to sit here today?,Are you currently using an electronic device (laptop/phone/tablet) that requires a continuous power supply to stay here?,If you had a strict assignment deadline due tomorrow morning how would your behavior change?,If this space became significantly louder right now due to a social event what would you do?,How does rainy weather typically affect your choice to use the Open Area?,To what extent would the installation of ceiling/wall fans change your usage of the Open Area during warm periods?,Any suggestions to improve infrastructure of the area?,Other comments on the area if you have any?
2026/07/16 4:40:19 PM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,5,4,4,1,4,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Curtains/Rain Shields,
2026/07/16 4:55:01 PM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),4,4,4,2,4,Large seating space,No,I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 5:10:33 PM,FOS,1st Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,4,4,4,2,4,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/16 5:25:44 PM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,5,5,4,1,5,"Availability of power plugs, Wi-Fi/Signal strength","Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 5:40:12 PM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Individual Academic Work,5,5,4,1,5,Wi-Fi/Signal strength,"Yes, but I am running on battery power",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 5:55:50 PM,Other,2nd Year,1 - 2 days,30 - 60 mins,Recreation (Gaming Social Media Relaxing),4,4,3,2,4,Atmosphere/Vibe,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/16 6:10:11 PM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,5,5,4,1,5,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 6:25:39 PM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),5,5,4,1,5,Large seating space,No,I would stay but move if it gets too distracting,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 6:40:02 PM,UCSC,2nd Year,5+ days,1 - 2 hours,Individual Academic Work,4,4,4,2,4,Wi-Fi/Signal strength,"Yes, but I am running on battery power",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 6:55:26 PM,FOS,1st Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,4,4,4,2,4,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
